days,Occupancy
1,61
2,64
3,80
4,107
5,150
6,177
7,219
8,247
9,259
10,266
11,269
12,263
13,238
14,215
15,192
16,165
17,162
18,143
19,54
20,59
21,71
22,83
23,114
24,128
25,148
26,162
27,178
28,183
29,175
30,179
31,174
32,158
33,145
34,129
35,121
36,114
37,58
38,63
39,70
40,95
41,135
42,160
43,177
44,191
45,199
46,206
47,198
48,208
49,200
50,175
51,158
52,153
53,135
54,129
55,58
56,61
57,75
58,103
59,128
60,172
61,188
62,199
63,210
64,206
65,200
66,201
67,193
68,181
69,172
70,159
71,158
72,132
73,58
74,61
75,75
76,104
77,158
78,191
79,223
80,254
81,306
82,320
83,348
84,357
85,395
86,400
87,395
88,406
89,381
90,365
91,42
92,42
93,43
94,43
95,50
96,64
97,100
98,126
99,148
100,170
101,189
102,205
103,208
104,209
105,191
106,180
107,155
108,133
109,54
110,56
111,65
112,73
113,92
114,113
115,144
116,149
117,159
118,171
119,176
120,172
121,161
122,154
123,137
124,129
125,130
126,114
127,56
128,64
129,74
130,93
131,129
132,167
133,200
134,219
135,225
136,221
137,217
138,217
139,208
140,191
141,167
142,159
143,150
144,127
145,51
146,57
147,64
148,73
149,99
150,112
151,127
152,128
153,143
154,158
155,157
156,164
157,167
158,159
159,140
160,128
161,121
162,111
163,58
164,65
165,76
166,97
167,127
168,166
169,200
170,220
171,230
172,231
173,214
174,203
175,205
176,181
177,162
178,144
179,132
180,130
181,53
182,57
183,67
184,100
185,134
186,157
187,205
188,220
189,224
190,213
191,205
192,201
193,182
194,174
195,171
196,161
197,138
198,134
199,53
200,63
201,77
202,101
203,154
204,171
205,211
206,239
207,276
208,297
209,332
210,352
211,391
212,409
213,442
214,428
215,412
216,393
217,48
218,48
219,55
220,57
221,57
222,56
223,56
224,56
225,65
226,105
227,131
228,146
229,170
230,180
231,192
232,185
233,173
234,154
235,50
236,54
237,66
238,76
239,112
240,119
241,144
242,153
243,159
244,154
245,154
246,157
247,161
248,147
249,133
250,121
251,115
252,110
253,57
254,60
255,72
256,91
257,145
258,178
259,220
260,228
261,231
262,224
263,237
264,227
265,226
266,200
267,165
268,157
269,149
270,124
271,49
272,51
273,59
274,76
275,105
276,135
277,156
278,177
279,181
280,171
281,165
282,167
283,161
284,156
285,144
286,127
287,117
288,110
289,57
290,59
291,72
292,93
293,130
294,156
295,198
296,239
297,261
298,324
299,359
300,380
301,408
302,430
303,424
304,403
305,384
306,340
307,47
308,48
309,51
310,50
311,54
312,60
313,80
314,107
315,125
316,144
317,175
318,192
319,215
320,226
321,219
322,215
323,179
324,150
325,47
326,55
327,62
328,73
329,87
330,114
331,137
332,155
333,173
334,191
335,198
336,208
337,219
338,215
339,209
340,209
341,192
342,175
343,54
344,55
345,82
346,95
347,129
348,173
349,202
350,249
351,290
352,303
353,331
354,345
355,363
356,365
357,340
358,302
359,273
360,226
361,56
362,63
363,70
364,87
365,108
366,125
367,159
368,182
369,198
370,205
371,231
372,244
373,260
374,267
375,252
376,238
377,212
378,180
379,54
380,60
381,69
382,90
383,102
384,117
385,160
386,189
387,207
388,222
389,247
390,271
391,279
392,280
393,266
394,263
395,241
396,225
397,57
398,57
399,69
400,99
401,135
402,171
403,196
404,230
405,262
406,269
407,266
408,275
409,296
410,290
411,282
412,269
413,256
414,220
415,51
416,56
417,66
418,91
419,124
420,164
421,213
422,267
423,314
424,339
425,338
426,368
427,366
428,374
429,414
430,417
431,417
432,369
433,43
434,43
435,43
436,44
437,45
438,44
439,47
440,61
441,84
442,107
443,122
444,142
445,169
446,177
447,182
448,183
449,157
450,147
451,49
452,58
453,67
454,92
455,111
456,129
457,166
458,178
459,198
460,199
461,198
462,201
463,189
464,185
465,160
466,141
467,130
468,121
469,50
470,54
471,69
472,91
473,135
474,163
475,185
476,207
477,239
478,244
479,243
480,241
481,229
482,199
483,180
484,167
485,153
486,133
487,50
488,52
489,57
490,81
491,97
492,125
493,144
494,167
495,169
496,184
497,192
498,188
499,188
500,171
501,153
502,130
503,125
504,115
505,51
506,56
507,60
508,80
509,119
510,138
511,185
512,195
513,195
514,191
515,196
516,191
517,187
518,177
519,154
520,142
521,120
522,108
523,48
524,56
525,71
526,97
527,115
528,135
529,154
530,179
531,183
532,182
533,171
534,173
535,179
536,167
537,156
538,145
539,136
540,119
541,43
542,48
543,59
544,90
545,135
546,181
547,224
548,243
549,278
550,288
551,331
552,351
553,361
554,346
555,369
556,390
557,368
558,340
559,35
560,35
561,36
562,39
563,46
564,53
565,77
566,96
567,124
568,153
569,178
570,188
571,216
572,225
573,211
574,188
575,163
576,130
577,30
578,38
579,49
580,61
581,87
582,110
583,142
584,157
585,157
586,160
587,154
588,161
589,162
590,156
591,148
592,124
593,119
594,118
595,34
596,36
597,46
598,68
599,112
600,150
601,178
602,196
603,236
604,250
605,253
606,237
607,223
608,196
609,163
610,144
611,127
612,106
613,32
614,37
615,43
616,61
617,88
618,107
619,130
620,151
621,152
622,160
623,172
624,172
625,163
626,152
627,134
628,124
629,108
630,94
631,36
632,41
633,49
634,65
635,93
636,126
637,160
638,186
639,201
640,208
641,208
642,200
643,201
644,190
645,162
646,153
647,147
648,136
649,39
650,42
651,63
652,82
653,122
654,147
655,169
656,191
657,188
658,178
659,164
660,166
661,170
662,161
663,162
