Days,Occupancy
1,93
2,98
3,109
4,116
5,129
6,142
7,156
8,167
9,175
10,191
11,195
12,200
13,201
14,203
15,190
16,175
17,171
18,164
19,95
20,101
21,113
22,124
23,141
24,143
25,156
26,162
27,176
28,177
29,172
30,172
31,176
32,170
33,167
34,167
35,162
36,159
37,102
38,111
39,118
40,130
41,137
42,145
43,159
44,170
45,170
46,166
47,168
48,174
49,181
50,177
51,175
52,176
53,170
54,158
55,100
56,110
57,124
58,137
59,147
60,158
61,169
62,173
63,183
64,190
65,190
66,191
67,194
68,193
69,180
70,180
71,172
72,158
73,89
74,98
75,110
76,121
77,138
78,152
79,177
80,196
81,216
82,249
83,287
84,309
85,320
86,310
87,306
88,305
89,282
90,277
91,58
92,67
93,77
94,79
95,92
96,119
97,145
98,144
99,155
100,151
101,156
102,158
103,157
104,162
105,163
106,153
107,136
108,118
109,73
110,83
111,86
112,96
113,112
114,121
115,126
116,130
117,140
118,142
119,147
120,152
121,151
122,142
123,138
124,129
125,122
126,109
127,74
128,83
129,86
130,102
131,116
132,132
133,150
134,161
135,170
136,171
137,173
138,169
139,168
140,164
141,161
142,154
143,152
144,146
145,71
146,80
147,88
148,94
149,106
150,120
151,135
152,144
153,154
154,156
155,159
156,170
157,177
158,183
159,179
160,179
161,170
162,161
163,101
164,108
165,117
166,131
167,140
168,150
169,157
170,162
171,169
172,177
173,183
174,183
175,185
176,175
177,176
178,176
179,166
180,160
181,95
182,104
183,120
184,128
185,145
186,150
187,161
188,164
189,176
190,187
191,187
192,191
193,191
194,196
195,188
196,180
197,182
198,178
199,115
200,127
201,141
202,146
203,166
204,167
205,192
206,205
207,223
208,229
209,266
210,284
211,314
212,316
213,309
214,308
215,294
216,281
217,76
218,85
219,94
220,98
221,107
222,111
223,123
224,126
225,134
226,155
227,166
228,172
229,169
230,168
231,160
232,150
233,138
234,121
235,79
236,84
237,93
238,103
239,123
240,126
241,135
242,135
243,144
244,152
245,156
246,151
247,151
248,147
249,143
250,139
251,132
252,120
253,75
254,83
255,96
256,106
257,117
258,130
259,142
260,159
261,169
262,170
263,183
264,177
265,186
266,188
267,178
268,174
269,168
270,155
271,87
272,96
273,110
274,120
275,134
276,146
277,159
278,169
279,173
280,179
281,176
282,173
283,173
284,166
285,161
286,154
287,154
288,144
289,94
290,98
291,105
292,116
293,121
294,140
295,160
296,181
297,198
298,226
299,250
300,279
301,295
302,318
303,12
304,0
305,0
306,6
307,2
308,11
309,22
310,30
311,40
312,55
313,72
314,92
315,106
316,113
317,135
318,135
319,135
320,138
321,132
322,121
323,86
324,73
325,19
326,29
327,34
328,43
329,46
330,53
331,68
332,81
333,92
334,99
335,114
336,116
337,121
338,116
339,117
340,106
341,99
342,91
343,23
344,29
345,37
346,45
347,70
348,86
349,92
350,114
351,121
352,134
353,137
354,155
355,157
356,158
357,160
358,153
359,143
360,121
361,26
362,41
363,48
364,62
365,67
366,73
367,91
368,102
369,118
370,127
371,135
372,142
373,150
374,150
375,144
376,133
377,118
378,96
379,20
380,26
381,33
382,40
383,51
384,61
385,77
386,94
387,106
388,121
389,135
390,146
391,138
392,140
393,128
394,123
395,116
396,111
397,36
398,36
399,51
400,64
401,74
402,83
403,89
404,106
405,114
406,128
407,145
408,153
409,151
410,153
411,149
412,148
413,137
414,144
415,60
416,71
417,82
418,84
419,103
