days ,occupancy
1,177
2,253
3,373
4,503
5,590
6,661
7,714
8,723
9,737
10,732
11,730
12,716
13,680
14,650
15,617
16,568
17,518
18,452
19,193
20,315
21,453
22,566
23,689
24,718
25,711
26,709
27,709
28,708
29,699
30,686
31,672
32,649
33,606
34,545
35,494
36,426
37,182
38,279
39,354
40,476
41,567
42,625
43,668
44,689
45,704
46,699
47,690
48,686
49,676
50,647
51,597
52,552
53,495
54,440
55,163
56,227
57,358
58,445
59,512
60,555
61,575
62,596
63,607
64,612
65,610
66,598
67,573
68,556
69,492
70,462
71,439
72,367
73,74
74,84
75,97
76,135
77,188
78,216
79,239
80,284
81,336
82,368
83,405
84,405
85,412
86,435
87,418
88,417
89,373
90,326
91,68
92,74
93,86
94,98
95,112
96,149
97,189
98,212
99,248
100,277
101,290
102,295
103,318
104,335
105,316
106,289
107,256
108,222
109,178
110,250
111,360
112,446
113,572
114,620
115,650
116,666
117,676
118,690
119,682
120,662
121,660
122,643
123,618
124,565
125,545
126,446
127,201
128,275
129,357
130,515
131,628
132,690
133,716
134,729
135,728
136,722
137,718
138,713
139,693
140,658
141,612
142,548
143,503
144,450
145,217
146,317
147,433
148,520
149,618
150,670
151,693
152,695
153,702
154,701
155,704
156,704
157,700
158,665
159,650
160,619
161,571
162,495
163,202
164,319
165,429
166,526
167,609
168,675
169,719
170,717
171,714
172,722
173,705
174,712
175,711
176,685
177,625
178,585
179,537
180,469
181,207
182,267
183,379
184,468
185,561
186,588
187,616
188,623
189,613
190,617
191,620
192,624
193,602
194,573
195,535
196,484
197,427
198,376
199,102
200,113
201,125
202,155
203,212
204,246
205,282
206,320
207,370
208,405
209,439
210,463
211,460
212,444
213,458
214,446
215,399
216,367
217,107
218,137
219,263
220,402
221,503
222,545
223,580
224,611
225,675
226,707
227,666
228,627
229,545
230,477
231,411
232,356
233,311
234,242
235,178
236,263
237,357
238,434
239,549
240,618
241,647
242,667
243,683
244,678
245,678
246,670
247,638
248,603
249,574
250,529
251,475
252,398
253,198
254,279
255,421
256,525
257,612
258,670
259,732
260,733
261,717
262,712
263,724
264,728
265,721
266,699
267,675
268,630
269,570
270,496
271,233
272,290
273,408
274,522
275,588
276,653
277,702
278,708
279,728
280,720
281,721
282,713
283,676
284,650
285,623
286,592
287,549
288,482
289,75
290,84
291,99
292,127
293,163
294,206
295,260
296,308
297,340
298,374
299,414
300,424
301,413
302,423
303,428
304,417
305,394
306,354
307,108
308,113
309,124
310,128
311,143
312,160
313,193
314,223
315,258
316,275
317,309
318,323
319,340
320,345
321,333
322,317
323,285
324,244
325,186
326,282
327,404
328,478
329,520
330,565
331,599
332,603
333,609
334,620
335,625
336,618
337,599
338,594
339,580
340,534
341,501
342,443
343,200
344,282
345,411
346,484
347,588
348,642
349,676
350,681
351,702
352,708
353,716
354,699
355,694
356,676
357,645
358,609
359,570
360,473
361,202
362,294
363,390
364,487
365,565
366,614
367,643
368,662
369,667
370,685
371,693
372,703
373,699
374,688
375,668
376,626
377,576
378,497
379,199
380,301
381,399
382,492
383,552
384,594
385,634
386,652
387,665
388,671
389,671
390,655
391,660
392,649
393,641
394,620
395,580
396,513
397,226
398,226
399,334
400,413
401,465
402,491
403,525
404,536
405,551
406,562
407,579
408,584
409,570
410,550
411,521
412,490
413,436
414,390
415,121
416,128
417,153
418,169
419,234
420,276
421,329
422,352
423,383
424,404
425,423
426,443
427,454
428,450
429,448
430,448
431,424
432,388
433,115
434,115
435,115
436,118
437,124
438,119
439,135
440,146
441,206
442,247
443,286
444,303
445,306
446,307
447,305
448,284
449,274
450,234
451,200
452,278
453,384
454,468
455,556
456,590
457,635
458,656
459,651
460,638
461,637
462,653
463,645
464,613
465,588
466,541
467,485
468,420
469,203
470,273
471,388
472,452
473,572
474,634
475,685
476,696
477,722
478,729
479,736
480,723
481,703
482,681
483,645
484,599
485,540
486,446
487,221
488,326
489,434
490,554
491,651
492,710
493,725
494,728
495,737
496,721
497,723
498,705
499,701
500,679
501,652
502,607
503,562
504,497
505,265
506,332
507,441
508,566
509,658
510,706
511,742
512,746
513,747
514,740
515,745
516,746
517,738
518,712
519,682
520,653
521,568
522,506
523,238
524,300
525,414
526,514
527,572
528,609
529,650
530,665
531,687
532,694
533,668
534,651
535,621
536,595
537,547
538,499
539,449
540,387
541,128
542,135
543,164
544,193
545,239
546,284
547,320
548,337
549,381
550,415
551,441
552,459
553,473
554,466
555,464
556,433
557,402
558,352
559,151
560,158
561,169
562,179
563,200
564,223
565,272
566,308
567,346
568,381
569,399
570,393
571,386
572,383
573,360
574,341
575,297
576,258
577,234
578,304
579,403
580,497
581,614
582,688
583,729
584,729
585,744
586,762
587,758
588,764
589,761
590,745
591,724
592,678
593,618
594,540
595,289
596,385
597,499
598,594
599,713
600,771
601,798
602,805
603,802
604,809
605,797
606,786
607,799
608,774
609,762
610,709
611,643
612,559
613,308
614,392
615,525
616,640
617,740
618,785
619,812
620,809
621,819
622,821
623,817
624,799
625,798
626,784
627,757
628,695
629,647
630,562
631,256
632,354
633,447
634,555
635,678
636,750
637,801
638,804
639,803
640,797
641,792
642,783
643,782
644,754
645,702
646,651
647,600
648,537
649,265
650,337
651,436
652,497
653,579
654,611
655,634
656,656
657,671
658,688
659,674
660,658
661,646
662,614
663,596
664,539
665,494
666,442
667,156
668,162
669,194
670,219
671,266
672,307
673,347
674,391
675,434
676,472
677,510
678,533
679,560
680,570
681,576
682,570
683,527
684,467
685,170
686,174
687,184
688,187
689,208
690,244
691,295
692,340
693,389
694,433
695,473
696,487
697,487
698,467
699,439
700,417
701,380
702,331
703,244
704,352
705,456
706,557
707,670
708,711
709,743
710,741
711,746
712,746
713,760
714,761
715,769
716,743
717,726
718,670
719,630
720,563
721,272
722,382
723,476
724,601
725,692
726,747
727,785
728,784
729,789
730,788
731,780
732,771
733,772
734,742
735,710
736,672
737,629
738,519
739,290
740,400
741,506
742,595
743,714
744,772
745,773
746,777
747,783
748,778
749,796
750,779
751,764
752,743
753,703
754,661
755,619
756,517
757,296
758,387
759,504
760,588
761,675
762,745
763,785
764,778
765,788
766,797
767,786
768,773
769,764
770,750
771,713
772,651
773,612
774,547
775,245
776,245
777,327
778,488
779,582
780,617
781,670
782,678
783,698
784,706
785,715
786,700
787,702
788,677
789,620
790,578
791,520
792,473
793,154
794,162
795,184
796,226
797,292
798,333
799,398
800,446
801,517
802,566
803,626
804,654
805,673
806,670
807,680
808,674
809,629
810,590
811,174
812,179
813,189
814,197
815,226
816,247
817,331
818,400
819,469
820,510
821,594
822,618
823,637
824,655
825,634
826,597
827,533
828,476
829,363
830,453
831,569
832,681
833,787
834,857
835,862
836,857
837,860
838,848
839,852
840,836
841,823
842,804
843,769
844,713
845,669
846,593
847,321
848,417
849,526
850,616
851,746
852,809
853,825
854,835
855,837
