Days ,Occupancy
1,120
2,129
3,155
4,204
5,236
6,264
7,308
8,324
9,332
10,334
11,333
12,331
13,332
14,322
15,307
16,294
17,270
18,245
19,146
20,169
21,211
22,256
23,310
24,337
25,339
26,340
27,337
28,336
29,343
30,345
31,345
32,336
33,326
34,306
35,284
36,261
37,98
38,133
39,157
40,192
41,228
42,268
43,287
44,300
45,312
46,322
47,330
48,325
49,328
50,307
51,296
52,287
53,260
54,247
55,105
56,126
57,159
58,183
59,199
60,224
61,246
62,254
63,276
64,274
65,286
66,286
67,286
68,280
69,260
70,253
71,240
72,216
73,56
74,70
75,92
76,128
77,170
78,198
79,216
80,233
81,253
82,270
83,301
84,330
85,341
86,345
87,337
88,344
89,338
90,296
91,89
92,92
93,107
94,118
95,129
96,156
97,195
98,222
99,247
100,289
101,322
102,344
103,342
104,344
105,332
106,314
107,286
108,269
109,74
110,94
111,123
112,153
113,186
114,220
115,235
116,247
117,255
118,271
119,293
120,293
121,284
122,277
123,268
124,257
125,245
126,232
127,153
128,172
129,193
130,240
131,276
132,312
133,334
134,328
135,333
136,338
137,341
138,342
139,343
140,337
141,342
142,325
143,303
144,292
145,178
146,200
147,233
148,265
149,304
150,325
151,328
152,342
153,345
154,343
155,345
156,345
157,331
158,330
159,321
160,313
161,299
162,273
163,120
164,146
165,170
166,202
167,241
168,269
169,300
170,333
171,343
172,342
173,337
174,341
175,344
176,325
177,315
178,315
179,317
180,296
181,95
182,121
183,153
184,184
185,219
186,237
187,264
188,273
189,291
190,295
191,305
192,315
193,314
194,307
195,299
196,284
197,251
198,240
199,92
200,107
201,130
202,167
203,206
204,230
205,259
206,290
207,313
208,335
209,345
210,345
211,344
212,345
213,345
214,345
215,344
216,334
217,134
218,157
219,249
220,336
221,342
222,345
223,345
224,345
225,345
226,344
227,344
228,345
229,345
230,329
231,306
232,288
233,266
234,253
235,91
236,109
237,133
238,162
239,195
240,233
241,262
242,276
243,276
244,274
245,283
246,289
247,291
248,277
249,268
250,259
251,251
252,234
253,154
254,176
255,203
256,231
257,283
258,309
259,334
260,334
261,336
262,336
263,339
264,339
265,340
266,332
267,318
268,308
269,300
270,257
271,161
272,170
273,206
274,254
275,285
276,316
277,339
278,338
279,332
280,341
281,345
282,345
283,344
284,343
285,344
286,327
287,308
288,280
289,52
290,57
291,74
292,89
293,119
294,137
295,178
296,218
297,250
298,302
299,334
300,344
301,327
302,344
303,343
304,340
305,332
306,304
307,67
308,73
309,89
310,101
311,126
312,156
313,227
314,272
315,313
316,345
317,345
318,345
319,345
320,345
321,345
322,341
323,320
324,292
325,52
326,77
327,116
328,130
329,145
330,173
331,196
332,219
333,242
334,272
335,299
336,301
337,310
338,297
339,299
340,276
341,263
342,229
343,118
344,133
345,165
346,187
347,218
348,235
349,263
350,297
351,337
352,344
353,343
354,343
355,337
356,346
357,335
358,309
359,290
360,262
361,121
362,151
363,182
364,216
365,256
366,283
367,312
368,338
369,341
370,344
371,345
372,345
373,345
374,345
375,344
376,328
377,312
378,283
379,73
380,106
381,143
382,175
383,202
384,215
385,246
386,276
387,296
388,320
389,341
390,345
391,345
392,345
393,345
394,327
395,297
396,273
397,85
398,85
399,112
400,152
401,170
402,189
403,232
404,262
405,281
406,289
407,320
408,325
409,332
410,335
411,337
412,318
413,301
414,276
415,79
416,77
417,95
418,120
419,165
420,214
421,277
422,309
423,345
424,345
425,345
426,335
427,345
428,345
429,345
430,345
431,337
432,329
433,70
434,70
435,70
436,72
437,82
438,94
439,102
440,120
441,154
442,209
443,256
444,266
445,300
446,318
447,313
448,325
449,330
450,308
451,70
452,86
453,120
454,145
455,189
456,203
457,216
458,221
459,241
460,249
461,260
462,261
463,265
464,260
465,239
466,215
467,207
468,178
469,90
470,104
471,130
472,155
473,190
474,222
475,254
476,270
477,279
478,274
479,299
480,297
481,293
482,279
483,267
484,256
485,246
486,219
487,91
488,109
489,137
490,191
491,215
492,250
493,264
494,285
495,295
496,291
497,301
498,290
499,302
500,304
501,298
502,275
503,251
504,238
505,133
506,148
507,177
508,199
509,241
510,264
511,292
512,303
513,310
514,309
515,319
516,329
517,334
518,313
519,299
520,288
521,259
522,235
523,103
524,128
525,159
526,186
527,213
528,234
529,260
530,281
531,297
532,301
533,303
534,304
535,310
536,286
537,251
538,227
539,201
540,196
541,39
542,50
543,82
544,110
545,162
546,192
547,204
548,236
549,278
550,282
551,303
552,324
553,342
554,344
555,331
556,330
557,326
558,298
559,51
560,52
561,56
562,71
563,87
564,119
565,177
566,204
567,245
568,263
569,312
570,316
571,336
572,344
573,345
574,345
575,333
576,297
577,75
578,92
579,121
580,155
581,189
582,243
583,266
584,273
585,280
586,277
587,277
588,279
589,287
590,287
591,282
592,274
593,249
594,229
595,127
596,148
597,184
598,214
599,273
600,308
601,326
602,324
603,335
604,328
605,333
606,340
607,339
608,324
609,317
610,292
611,264
612,241
613,135
614,153
615,181
616,233
617,252
618,278
619,295
620,311
621,338
622,339
623,338
624,341
625,333
626,332
627,335
628,320
629,315
630,293
631,107
632,135
633,157
634,193
635,251
636,268
637,290
638,301
639,316
640,339
641,337
642,340
643,328
644,321
645,305
646,293
647,276
648,247
649,67
650,95
651,126
652,151
653,183
654,214
655,243
656,268
657,278
658,306
659,317
660,322
661,327
662,333
663,334
664,314
665,302
666,282
667,57
668,67
669,92
670,124
671,164
672,189
673,229
674,260
675,276
676,299
677,318
678,336
679,336
680,345
681,345
682,345
683,344
684,331
685,90
686,95
687,106
688,124
689,162
690,212
691,257
692,296
693,338
694,339
695,345
696,345
697,345
698,345
699,336
700,311
701,274
702,232
703,67
704,89
705,109
706,143
707,178
708,210
709,247
710,258
711,276
712,293
713,304
714,315
715,317
716,301
717,277
718,252
719,241
720,228
721,141
722,162
723,184
724,228
725,271
726,325
727,339
728,322
729,329
730,332
731,337
732,339
733,345
734,338
735,329
736,307
737,293
738,270
739,186
740,213
741,249
742,278
743,320
744,340
745,342
746,343
747,342
748,344
749,343
750,341
751,342
752,332
753,325
754,303
755,298
756,272
757,99
758,127
759,167
760,201
761,303
762,348
763,371
764,387
765,390
766,392
767,390
768,394
769,394
770,393
771,400
772,375
773,365
774,342
775,129
776,129
777,154
778,221
779,250
780,269
781,297
782,320
783,342
784,391
785,383
786,396
787,386
788,383
789,379
790,361
791,348
792,343
793,107
794,121
795,152
796,200
797,257
798,290
799,331
800,379
801,402
802,402
803,399
804,402
805,402
806,399
807,388
808,388
809,395
810,402
811,113
812,117
813,124
814,157
815,211
816,248
817,327
818,367
819,402
820,402
821,402
822,402
823,402
824,402
825,402
826,401
827,399
828,387
829,153
830,166
831,192
832,215
833,250
834,265
835,297
836,325
837,340
838,348
839,364
840,354
841,359
842,360
843,346
844,322
845,313
846,288
847,201
848,226
849,265
850,291
851,330
852,362
853,387
854,390
855,389
856,381
857,390
858,388
859,399
860,388
861,386
862,379
863,368
864,335
865,224
866,253
867,286
868,334
869,375
870,398
871,395
872,396
873,390
874,395
875,399
876,402
877,402
